,Unnamed: 0,aimAction,aimPlayerGridList,avoidCommitPoint,conditionName,crossPoint,decisionSteps,goal,name,noiseNumber,noisePoint,obstacles,playerGrid,reactionTime,target1,target2,targetDiff,trajectory,participantsType,trajLength,goalPosteriorList
8,8,"[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[(12, 0), (12, 1), (12, 1), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (13, 7), (13, 8), (13, 9), (12, 9), (11, 9), (10, 9)]","(12, 1)",expCondition2,"(10, 4)",1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",maguorong-m-22,2,"[2, 10]","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (12, 10), (4, 6), (6, 11), (7, 6), (7, 12), (5, 8), (8, 5), (2, 4), (9, 9), (4, 13), (14, 0), (8, 13), (4, 9)]","(13, 0)","[1000, 1240, 1416, 1576, 1752, 1904, 2072, 2248, 2408, 2576, 2752, 3000, 3192, 3504, 3672, 3864]","(10, 9)","(5, 4)",0,"[(13, 0), [12, 0], [12, 0], [12, 1], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [13, 6], [13, 7], [13, 8], [13, 9], [12, 9], [11, 9], [10, 9]]",Human,17,"[0.5, 0.4999999970792687, 0.5091935567623067, 0.5183809021177439, 0.5183809021121131, 0.7378334303379543, 0.9999192264569213, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,14,"[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (1, 8), (2, 8), (3, 8)]","(1, 2)",expCondition1,"(3, 3)",0,"[0, 2, 2, 2, 2, 2, 0, 0, 0]",maguorong-m-22,0,[],"[(1, 1), (1, 3), (3, 1), (13, 2), (12, 13), (12, 8), (6, 13), (10, 3), (0, 0), (9, 11), (13, 4), (5, 4), (8, 10), (7, 8), (6, 11), (8, 9), (11, 6), (9, 9)]","(0, 2)","[1185, 1369, 1545, 1721, 1889, 2073, 2345, 2529, 2705]","(8, 3)","(3, 8)",0,"[(0, 2), [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [1, 8], [2, 8], [3, 8]]",Human,10,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,15,"[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(0, 3), (0, 4), (0, 4), (0, 5), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9)]","(1, 2)",expCondition2,"(4, 4)",0,"[0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]",maguorong-m-22,2,"[2, 4]","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (10, 2), (6, 6), (9, 0), (6, 11), (8, 11), (10, 6), (12, 9), (4, 0), (0, 12), (2, 13), (3, 0), (13, 11), (13, 6)]","(0, 2)","[751, 903, 1064, 1232, 1400, 1576, 1728, 1904, 2080, 2288, 2456, 2624, 2792]","(9, 4)","(4, 9)",0,"[(0, 2), [0, 3], [0, 3], [0, 4], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [1, 9], [2, 9], [3, 9], [4, 9]]",Human,14,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,17,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[(13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (9, 14), (8, 14), (7, 14), (7, 13), (7, 12), (7, 11)]","(12, 12)",expCondition1,"(11, 11)",2,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]",maguorong-m-22,1,[6],"[(13, 13), (13, 11), (11, 13), (5, 4), (13, 3), (2, 6), (14, 6), (11, 2), (5, 12), (8, 4), (3, 13), (5, 6), (6, 9), (9, 4), (7, 9), (8, 9), (9, 10), (1, 4)]","(14, 14)","[817, 969, 1137, 1313, 1472, 1640, 1840, 2072, 2256, 2664, 2856, 3024]","(7, 11)","(11, 7)",0,"[(14, 14), [13, 14], [12, 14], [11, 14], [10, 14], [9, 14], [10, 14], [9, 14], [8, 14], [7, 14], [7, 13], [7, 12], [7, 11]]",Human,13,"[0.5, 0.8086627097678388, 0.8086627097688726, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,18,"[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[(0, 12), (0, 11), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4)]","(1, 12)",expCondition1,"(3, 11)",1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",maguorong-m-22,1,[2],"[(1, 13), (3, 13), (1, 11), (6, 1), (7, 1), (10, 10), (10, 8), (11, 7), (9, 1), (5, 3), (5, 2), (5, 4), (13, 6), (10, 3), (7, 9), (11, 13), (12, 8), (13, 10)]","(0, 13)","[1089, 1265, 1433, 1601, 1777, 1945, 2129, 2297, 2473, 2681, 2841, 3097, 3265, 3441]","(3, 4)","(10, 11)",0,"[(0, 13), [0, 12], [0, 13], [0, 12], [0, 11], [0, 10], [0, 9], [0, 8], [0, 7], [0, 6], [0, 5], [0, 4], [1, 4], [2, 4], [3, 4]]",Human,15,"[0.5, 0.5000000025153297, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
21,21,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (7, 0), (6, 0), (6, 1), (6, 2), (6, 3)]","(12, 1)",expCondition1,"(11, 3)",1,"[0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]",maguorong-m-22,1,[7],"[(13, 1), (11, 1), (13, 3), (8, 7), (13, 11), (11, 10), (14, 3), (6, 8), (14, 13), (10, 4), (2, 10), (4, 4), (8, 8), (1, 9), (10, 5), (2, 3), (12, 9), (13, 9)]","(13, 0)","[824, 1000, 1168, 1328, 1488, 1664, 1872, 2384, 2632, 2969, 3169, 3361]","(11, 8)","(6, 3)",0,"[(13, 0), [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [8, 0], [7, 0], [6, 0], [6, 1], [6, 2], [6, 3]]",Human,13,"[0.5, 0.5000000000289548, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
24,24,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[(13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4)]","(13, 2)",expCondition2,"(10, 4)",0,"[0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0]",maguorong-m-22,0,[],"[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (7, 8), (4, 1), (2, 12), (10, 1), (6, 6), (6, 8), (7, 6), (8, 12), (14, 13), (12, 11), (5, 13), (11, 13), (4, 5)]","(14, 2)","[944, 1120, 1288, 1456, 1632, 1800, 1976, 2144, 2320, 2568, 2752]","(10, 9)","(5, 4)",0,"[(14, 2), [13, 2], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [5, 3], [5, 4]]",Human,12,"[0.5, 0.5091423791595806, 0.5091423791542224, 0.7161286088621545, 0.9997423544882902, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
29,29,"[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (2, 0), (2, 1), (1, 1), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (5, 12), (6, 12)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]",maguorong-m-22,2,"[3, 13]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (9, 7), (11, 12), (9, 10), (9, 8), (7, 8), (13, 5), (13, 9), (12, 12), (11, 11)]","(0, 0)","[961, 1329, 1737, 1913, 2425, 2929, 3113, 3297, 3473, 3649, 3833, 4001, 4161, 4345, 4601, 4793, 5009, 5305, 5497, 5689]","(12, 6)","(6, 12)",0,"[(0, 0), [1, 0], [2, 0], [1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12], [4, 12], [5, 12], [6, 12]]",Human,21,"[0.5, 0.49994561177349833, 0.4984034355177621, 0.49840343239806345, 0.4991240939224225, 0.4967502498898334, 0.4967502491901549, 0.7335632517764137, 0.7335632616806724, 0.9999999999999998, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
36,36,"[(1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(1, 0), (1, 0), (0, 0), (-1, 0), (1, 0), (0, 0), (-1, 0), (1, 0), (0, 0), (-1, 0), (1, 0), (0, 0), (-1, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11)]","(3, 3)",expCondition2,"(5, 5)",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]",maguorong-m-22,1,[1],"[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (2, 5), (5, 2), (8, 12), (6, 7), (9, 11), (13, 0), (9, 12), (8, 9), (13, 12), (7, 13), (2, 13), (2, 12), (7, 7)]","(0, 0)","[1024, 1560, 1896, 2112, 2504, 2864, 3040, 3408, 3768, 3960, 4296, 4672, 4888, 5192, 5976, 6168, 6344, 6528, 6688, 6856, 7032, 7200, 7368, 7552, 7736, 8040, 8224, 8400, 8600]","(11, 5)","(5, 11)",0,"[(0, 0), [0, 0], [1, 0], [0, 0], [0, 0], [1, 0], [0, 0], [0, 0], [1, 0], [0, 0], [0, 0], [1, 0], [0, 0], [0, 0], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [2, 11], [3, 11], [4, 11], [5, 11]]",Human,30,"[0.5, 0.49625999719875036, 0.49252041288401865, 0.49268522571842277, 0.4927616064541959, 0.4890227923357793, 0.489187562982792, 0.48926392442500505, 0.485526246279551, 0.4856909586259828, 0.48576729330689167, 0.4820311164664078, 0.48219575442188417, 0.4822720548842174, 0.47853774409338495, 0.478537737915699, 0.7171853107892538]"
39,39,"[(1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[(1, 14), (1, 13), (2, 12), (2, 12), (1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (1, 8), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (5, 6), (5, 5)]","(3, 11)",expCondition2,"(5, 9)",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",maguorong-m-22,2,"[2, 4]","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (5, 12), (2, 9), (10, 2), (1, 4), (6, 6), (9, 2), (11, 11), (4, 2), (8, 5), (7, 6), (13, 7), (12, 6), (0, 2)]","(0, 14)","[1081, 1369, 1569, 1737, 2217, 2609, 2809, 2977, 3153, 3329, 3529, 3809, 4001, 4169, 4345, 4633, 4841]","(5, 5)","(9, 9)",0,"[(0, 14), [1, 14], [2, 13], [2, 13], [2, 13], [1, 13], [1, 12], [1, 11], [1, 10], [1, 9], [1, 8], [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [5, 6], [5, 5]]",Human,18,"[0.5, 0.4952532755558665, 0.49525327514746204, 0.5346373688833138, 0.5735942645588338, 0.8590085645114965, 0.9567879385616243, 0.9567879386023559, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
45,45,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (4, 1), (4, 2), (4, 3)]","(12, 1)",expCondition1,"(11, 3)",0,"[0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]",maguorong-m-22,0,[],"[(13, 1), (11, 1), (13, 3), (11, 13), (2, 3), (13, 4), (3, 9), (2, 9), (14, 5), (6, 11), (8, 5), (5, 11), (13, 1), (2, 4), (5, 13), (6, 8), (4, 6), (10, 7)]","(12, 0)","[689, 873, 1033, 1209, 1385, 1545, 1721, 1896, 2113, 2288, 2456]","(11, 10)","(4, 3)",0,"[(12, 0), [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [6, 0], [5, 0], [4, 0], [4, 1], [4, 2], [4, 3]]",Human,12,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
54,54,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[(13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (5, 12), (5, 11)]","(13, 12)",expCondition1,"(11, 11)",0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",maguorong-m-22,0,[],"[(13, 13), (13, 11), (11, 13), (1, 10), (3, 9), (14, 3), (6, 5), (7, 10), (2, 7), (7, 14), (13, 13), (4, 10), (10, 3), (10, 9), (6, 3), (3, 12), (2, 8), (10, 1)]","(14, 12)","[976, 1144, 1312, 1488, 1656, 1840, 2008, 2200, 2368, 2640]","(5, 11)","(11, 5)",0,"[(14, 12), [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [5, 12], [5, 11]]",Human,11,"[0.5, 0.6722229445732224, 0.6722229445727906, 0.9999226583672868, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
55,55,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[(13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (7, 12), (7, 11)]","(12, 12)",expCondition1,"(11, 11)",2,"[0, 0, 0, 1, 1, 1, 1, 0, 0]",maguorong-m-22,2,"[2, 7]","[(13, 13), (13, 11), (11, 13), (3, 4), (9, 1), (10, 7), (12, 2), (1, 11), (5, 3), (6, 7), (7, 7), (2, 2), (6, 8), (2, 6), (14, 5), (8, 10), (1, 7), (6, 13)]","(14, 14)","[1233, 1409, 1585, 1761, 1937, 2121, 2297, 2585, 2817]","(7, 11)","(11, 7)",0,"[(14, 14), [13, 14], [12, 14], [11, 14], [10, 14], [9, 14], [8, 14], [7, 13], [7, 12], [7, 11]]",Human,10,"[0.5, 0.8119533570560199, 0.8119533570570981, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
57,57,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[(1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (8, 13), (8, 12), (8, 11)]","(2, 12)",expCondition1,"(3, 11)",2,"[0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0]",maguorong-m-22,0,[],"[(1, 13), (3, 13), (1, 11), (12, 6), (8, 4), (0, 3), (12, 3), (5, 7), (6, 8), (4, 5), (3, 5), (12, 11), (10, 14), (11, 11), (6, 7), (3, 3), (9, 4), (10, 4)]","(0, 14)","[960, 1136, 1304, 1472, 1632, 1808, 1984, 2152, 2400, 2600, 2792]","(3, 6)","(8, 11)",0,"[(0, 14), [1, 14], [2, 14], [3, 14], [4, 14], [5, 14], [6, 14], [7, 14], [8, 14], [8, 13], [8, 12], [8, 11]]",Human,12,"[0.5, 0.7824558440760069, 0.7824558440935594, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
69,69,"[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(1, 14), (1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4)]","(3, 11)",expCondition2,"(5, 9)",4,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",maguorong-m-22,1,[11],"[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (5, 12), (2, 9), (6, 6), (9, 5), (1, 3), (8, 4), (11, 3), (11, 4), (11, 12), (9, 4), (11, 14), (11, 5), (13, 2)]","(0, 14)","[1209, 1465, 1681, 1865, 2017, 2185, 2369, 2689, 2865, 3017, 3193, 3433, 3633, 3817, 4033, 4257]","(5, 4)","(10, 9)",0,"[(0, 14), [1, 14], [1, 13], [1, 12], [1, 11], [1, 10], [1, 9], [1, 8], [2, 8], [3, 8], [4, 8], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4]]",Human,17,"[0.5, 0.4957876946448925, 0.4957876929616844, 0.7555029992021929, 0.7555030006674269, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
73,73,"[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (1, 3), (1, 3), (1, 3), (1, 3), (2, 2), (2, 3), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]",maguorong-m-22,2,"[6, 12]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (8, 11), (13, 1), (7, 7), (12, 8), (13, 12), (0, 13), (10, 8), (13, 7), (7, 10)]","(0, 0)","[1012, 1180, 1589, 1757, 1941, 2117, 2277, 2453, 2621, 2813, 3077, 3349, 3565, 3725, 3900, 4077, 4261, 4429, 4597, 4772, 4964, 5188, 5420, 5596, 5764, 5948]","(12, 6)","(6, 12)",0,"[(0, 0), [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [1, 2], [1, 2], [1, 2], [1, 2], [1, 2], [2, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [3, 12], [4, 12], [5, 12], [6, 12]]",Human,27,"[0.5, 0.49994551614880295, 0.49841695200570696, 0.4984169423709359, 0.4984169399143572, 0.7349853254087192, 0.7349853351583902, 0.7348691092602604, 0.734752850784979, 0.7346365597395472, 0.7345202361309817, 0.7345202368083185, 0.8853477148748907, 0.9556582678613573, 0.9556582699824353, 1.0, 1.0]"
77,77,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(13, 0), (12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (5, 1), (5, 2), (5, 3)]","(12, 2)",expCondition1,"(11, 3)",2,"[0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",maguorong-m-22,1,[7],"[(13, 1), (11, 1), (13, 3), (3, 12), (6, 12), (1, 9), (1, 12), (9, 10), (5, 11), (3, 10), (10, 5), (3, 2), (5, 8), (3, 0), (10, 8), (13, 10), (4, 3), (8, 7)]","(14, 0)","[1200, 1392, 1552, 1720, 1880, 2056, 2216, 2392, 2584, 2840, 3024, 3200]","(11, 9)","(5, 3)",0,"[(14, 0), [13, 0], [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [6, 0], [5, 0], [5, 1], [5, 2], [5, 3]]",Human,13,"[0.5, 0.7754478453650452, 0.7754478455804628, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
81,81,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[(1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (10, 11)]","(1, 12)",expCondition1,"(3, 11)",0,"[0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0]",maguorong-m-22,0,[],"[(1, 13), (3, 13), (1, 11), (12, 3), (12, 1), (5, 14), (13, 8), (10, 7), (9, 3), (11, 4), (7, 3), (11, 9), (4, 2), (12, 2), (2, 1), (10, 3), (8, 7), (3, 2)]","(0, 12)","[736, 911, 1071, 1231, 1415, 1567, 1751, 1919, 2103, 2303, 2575]","(3, 4)","(10, 11)",0,"[(0, 12), [1, 12], [2, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [10, 12], [10, 11]]",Human,12,"[0.5, 0.6826269347242138, 0.68262693471831, 0.9997921972758971, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
87,87,"[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[(14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 13), (8, 13), (7, 13), (6, 13), (5, 13), (4, 13), (4, 12), (4, 11)]","(13, 12)",expCondition1,"(11, 11)",1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",maguorong-m-22,1,[5],"[(13, 13), (13, 11), (11, 13), (13, 1), (8, 7), (2, 9), (13, 14), (6, 3), (7, 7), (12, 14), (11, 2), (9, 7), (4, 6), (12, 1), (10, 10), (7, 4), (8, 5), (13, 2)]","(14, 13)","[1126, 1471, 1646, 2070, 2206, 2358, 2526, 2702, 2886, 3038, 3214, 3470, 3654]","(4, 11)","(11, 4)",0,"[(14, 13), [14, 12], [13, 12], [12, 12], [11, 12], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [4, 13], [4, 12], [4, 11]]",Human,14,"[0.5, 0.4999999972437657, 0.6884862133310585, 0.6884862133249331, 0.9999179475829737, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
88,88,"[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(14, 13), (13, 13), (12, 13), (11, 13), (11, 13), (10, 13), (9, 13), (8, 13), (7, 13), (6, 13), (5, 13), (6, 13), (5, 13), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9)]","(11, 11)",expCondition2,"(9, 9)",4,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",maguorong-m-22,2,"[4, 11]","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (12, 9), (9, 12), (6, 7), (3, 13), (9, 3), (3, 6), (2, 14), (11, 1), (12, 3), (7, 4), (1, 1), (14, 1), (8, 4)]","(14, 14)","[1137, 1417, 1601, 1769, 1953, 2145, 2313, 2497, 2673, 2849, 3041, 3217, 3473, 3697, 3985, 4201, 4393, 4585]","(4, 9)","(9, 4)",0,"[(14, 14), [14, 13], [13, 13], [12, 13], [12, 13], [11, 13], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [7, 13], [6, 13], [5, 13], [4, 13], [4, 12], [4, 11], [4, 10], [4, 9]]",Human,19,"[0.5, 0.4957955559558114, 0.4957955718203943, 0.7551481942041236, 0.7551481960777974, 0.7551481979514711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
89,89,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[(12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (6, 13), (6, 12), (6, 11)]","(12, 13)",expCondition1,"(11, 11)",1,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",maguorong-m-22,0,[],"[(13, 13), (13, 11), (11, 13), (14, 1), (6, 8), (4, 10), (1, 1), (5, 8), (2, 9), (3, 9), (7, 9), (1, 8), (13, 5), (4, 4), (14, 9), (9, 10), (14, 7), (1, 10)]","(13, 14)","[832, 1008, 1177, 1344, 1512, 1688, 1880, 2096, 2280, 2448]","(6, 11)","(11, 6)",0,"[(13, 14), [12, 14], [11, 14], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [6, 13], [6, 12], [6, 11]]",Human,11,"[0.5, 0.5000000000245487, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
